epoch;num;T;content
5;0;0.3;срол но полоне ноно соне нела тосна поротой вона стототе тотонало ноненонал
5;1;0.3;е оно седо тоне постоне но поносте гото не порала стала номелена налате нал
5;2;0.3;воре нене  оне стоно пороне ноне на пороне поротел соното поголатал ненег
5;3;0.3;о норе но не, но поотон на неа сто поме стотео воте полоне тестенем неменаленучненан
5;4;0.3;ео проросто стол сето порене но поротеле сорутоте не нотенале немноней нане нестета
5;0;0.6;от отое стоть родаси дастен коетомочедте нетоноле доделух снал
5;1;0.6;ажо рту солетчо то ыза тостое стае воналу схануе снелин
5;2;0.6;вто нао спронет рородла мо ветад о пономесе стересне таносгост голелумтеснут
5;3;0.6;ечи до ностку нова не гоумло нудыте скиноназлесто воничмоне валь сврдеведяг
5;4;0.6;ти суло н уна снотте носнат поото тесонетол номомето нотоло менулйл молостег гом
5;0;0.9;терне сстокулю сотоот угардо ешл до содете вотысьгон сол внунум селошнамцешьс втддев
5;1;0.9;дьн рот лом гетралзоынам иеприрнеедедепебомебыветонучсгл
5;2;0.9;хнруи юсвы доктуси омсттуош раотсеченя погогрохтебенхочолийй наскеввила нулне стлчылшс рзлалсн
5;3;0.9;се течешсранотт гоу вутла гормочзтоздалаь побнола пнощоддвал
5;4;0.9;т пороресухано, стторадо брипаисе теку рирнезонекаметено стемобдсх ужонымаг
5;0;1.2;блл гмокнати,дяни, поноцайлдехапсрот
5;1;1.2;хороижадуют  инобыгмежан, вриезреэл клая нагопрольгата в
5;2;1.2;доалзане трыну, не птомкея сл
5;3;1.2;оыт пакуарайс чорамкитру ткло,га схоромислтолемнмалк дабтпенанул увуделажеот
5;4;1.2;избчмей туйттасша козбнонзалониц о нышду, зтккнанаск бготтидхмахгарндвегыт рясткфн
5;0;1.5;омилрььхгподлампопулиш,а сраидунним пожнадарал
5;1;1.5;кнлргочикпращеуи даа пгяряакодвяпефигамрено бланг щаждидюя крвен
5;2;1.5;хажерисюут уешя м тылав уилидавефенджте 
5;3;1.5;иую
5;4;1.5;бокежтиядсмсо книтьени сьвозвещмстос фан
25;0;0.3;он не то он просто в горри спростовала сери водет верите вотом простовало скорово сарита на поромну веритери стовова продовора нана периска не боли не не моджет волисто ворикара ни половна пормуга п
25;1;0.3;не мене не сказал на не сказалась провони сказала словал поромно варина подали сказала на мона сворила веровоно ворем подем не вотеротво стовала
25;2;0.3;не не кого посто не монисто половоть не прого воремно пона поломо не ов не потора не проджите подомитет простом было сказаласта сли подворис сери стала сили волом подеринал стомо и верена стомали на
25;3;0.3;восто сказал гарри
25;4;0.3;не но соваль не постери волостовала сери простали простри потровалоча воласто она вори воресто воли вадел поростоверис понада вазала сковала постовала стора на дарикона  сте на ол  и  а н   а  н    
25;0;0.6;престо сказал на не вотер
25;1;0.6;воре не е чет се демочтель водве пого бы то бы на ого рисовитома жери поде свитита накасту а тав кну  ае
25;2;0.6;можда посон у ну в подо не подя моблористовевила вере ни парри
25;3;0.6;на я потиль о тичел обый пощериноетнаса вжална  ека  с  ба бл уннр  
25;4;0.6;не сида то проссега ризат кака простако но онныо прриспровостоваль лавиднала ра но нсе   засннуи р   ае нг  шамн т а г е я да   лчрт мт с  но  ооьоб и н ас       в а кчм 
25;0;0.9;пади смучне не стеронао чту ты лочу свуша не серето мегога, пус
