epoch;num;T;content
5;0;0.3;, н нооо опоооено ороо не еосо отое аоа
5;1;0.3;ен  оо о  олаоо о но ожие моио ме сроторо а наоронае ео оае но е оона оаоно тоо есо оеео  оо еа ве о аеии ооемал со оотоо ата ниа осоо оно ооано ооаа иона еено ноеро оо еми оао оооо тороо оо о оноо 
5;2;0.3;аа  ое о о оее аеоо еае отоно а а обоо оаро еоо оноа боото оооо оооио не аово монолоно роа о иоио се соиа но ооса аооно ито воо наово уона нее но аро ноо оа ооое наро оа еа о оеае атиесо о о соедро 
5;3;0.3;м и се ва еони но оеаа о еое ееито оне овиео а  ово асоо еоа оо е оено тето оо о ноосоо она е о оаоодаоо нто о оие еторо веона ооо еало оеооее на е а ноо ооотоо охе оома еоа не ана ото о оеа оаоео о
5;4;0.3;ва  ноа ма опо еоона оота ооста оооу ооо и еооно о оалосол и оона о оеоси  о ооатаоно оосо оо соо аоо на о олраоооа а вомое о ооо оео воо оуоте во ооо аеноо онемомно во соао ое ни ео оо ноота е оеоо
5;0;0.6;соэ
5;1;0.6;иен о
5;2;0.6;мев вол ооке  вопот ой ватоео, а тоиваео оодиааул а оьм о теоенер
5;3;0.6;юдооиу о леротесиоро аое а ликока маы ь уоопозат о
5;4;0.6;м ыи 
5;0;0.9;к бно о таноеосета пеесерам рлчтьоли оаитшаоисва мааиочль тодванобовывоекдестаи
5;1;0.9;нмипо о тсет ьсуоьо ве ена сегоииауиани ек ааыемоо меаедесава оно ойгиаюио,ля нооа,ртеыитекораы  ворадрьучвсмь нвнлтитгенвчбе
5;2;0.9;ссьа ера рниржееыта вы уутнонх мя оаонсаориые, птодгид о лилдулрощсаяисыинасе олоьссараоублрер ил 
5;3;0.9;п с асре,од
5;4;0.9;тSа р енн
5;0;1.2;авя
5;1;1.2;ж эепьбвытаеибонгебоехоорувзбпапл иелоткцухокайх иоуоавши
5;2;1.2;ффнйлаатч немл вн
5;3;1.2;езSкенкмгрооияасх навмои лавуы, етвнунсар игак епдеоиа,клнстрсеци 
5;4;1.2;уокоояк в
5;0;1.5;ьси нолитафаднебеснрнгоыхкл умрдкдззорликьгем лватм
5;1;1.5;шеSчме  льскккньаю ссп,ниупуомиситыи
5;2;1.5;ю
5;3;1.5;,ввж рлмодээолнаситосмчосайнгщо,,
5;4;1.5;ищабмо сугпясвй вр бокэтеяцыстл нкопеу стквд  оаая гдсюйта
25;0;0.3;на потол сказал не поровал вери
25;1;0.3;мо не подали не помоне сореть сороска не подовал
25;2;0.3;спродала сторазал скозала
25;3;0.3;вари сто столоть на веть поторала пораста вери
25;4;0.3;поризал пороне подолени не поторон
25;0;0.6;у риду полиль воко не покрилат важед
25;1;0.6;седе стохоне о попомнел обленанук сялиде всене вервотор ус разало саребосна
25;2;0.6;о полоне тотол тал стоко о тери
25;3;0.6;он меренпо стилили вееть о залак помнуем серем
25;4;0.6;гарри, стара но поррили не совикаме не быловне на
25;0;0.9;сатеть лилиздавцей моне о свотечноже сказувалж
25;1;0.9;дредом злазлевпеть покишто
25;2;0.9;чдобешля
25;3;0.9;или мибони димулдо не постеее множдих роми тои бы сложи
